epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
69,5020.04,0.81919,1.38298,0.70061,1.04493,0,0.84811,0.76246,0.80042,0.59974,0.75093,0.6747,0.66538,0.21493,0.96723,1.16613,0.99335,1.05007,0,0.0006536,0.0006536,0.0006536
70,5212.71,0.80813,1.39487,0.70222,1.04054,0,0.86505,0.72083,0.79811,0.60547,0.76514,0.62802,0.63186,0.21294,0.95681,1.18853,0.99665,1.03979,0,0.0006338,0.0006338,0.0006338
71,5405.21,0.80996,1.39201,0.70385,1.03945,0,0.84595,0.72691,0.79017,0.59504,0.77255,0.64111,0.66485,0.21068,0.98129,1.17061,0.98942,1.04743,0,0.000614,0.000614,0.000614
72,5598.2,0.81396,1.38242,0.69113,1.04572,0,0.85231,0.71084,0.7884,0.5917,0.76909,0.61446,0.65631,0.20715,0.97316,1.17763,0.96688,1.04888,0,0.0005942,0.0005942,0.0005942
73,5789.94,0.80988,1.39615,0.67532,1.04346,0,0.84245,0.73896,0.80146,0.60875,0.76026,0.63855,0.66213,0.22327,0.95821,1.17501,0.95405,1.03473,0,0.0005744,0.0005744,0.0005744
74,5984.21,0.80987,1.38635,0.6844,1.04503,0,0.83872,0.73097,0.79404,0.59505,0.74445,0.63052,0.64564,0.2226,0.96543,1.18867,0.98235,1.05096,0,0.0005546,0.0005546,0.0005546
75,6176.84,0.79954,1.37561,0.67256,1.03567,0,0.82536,0.76707,0.80192,0.59774,0.72498,0.6747,0.66335,0.213,0.96628,1.18312,0.95733,1.0422,0,0.0005348,0.0005348,0.0005348
76,6369.54,0.79745,1.38135,0.67785,1.03323,0,0.83889,0.72691,0.8004,0.60838,0.73498,0.63486,0.65936,0.21639,0.93604,1.191,0.94372,1.02921,0,0.000515,0.000515,0.000515
77,6560.92,0.7882,1.34402,0.67411,1.03468,0,0.8286,0.73896,0.80894,0.61968,0.71301,0.63858,0.6193,0.21529,0.94087,1.18629,0.93848,1.02523,0,0.0004952,0.0004952,0.0004952
78,6753.26,0.79296,1.37291,0.6674,1.03507,0,0.86648,0.70371,0.80358,0.62122,0.72767,0.68675,0.68522,0.22529,0.92195,1.1718,0.93292,1.01322,0,0.0004754,0.0004754,0.0004754
79,6946.17,0.80314,1.3761,0.67467,1.03936,0,0.82367,0.75904,0.82167,0.62521,0.7406,0.66667,0.66672,0.22547,0.94624,1.16273,0.93398,1.04638,0,0.0004556,0.0004556,0.0004556
80,7139.23,0.78285,1.35399,0.66877,1.02774,0,0.82521,0.7584,0.80935,0.62076,0.73964,0.67313,0.66066,0.21816,0.94896,1.184,0.9386,1.04555,0,0.0004358,0.0004358,0.0004358
81,7330.78,0.78491,1.36441,0.65825,1.02723,0,0.88579,0.72289,0.81763,0.62458,0.79874,0.63756,0.66708,0.22281,0.93331,1.17767,0.92211,1.03446,0,0.000416,0.000416,0.000416
82,7523.01,0.77222,1.34175,0.63989,1.02291,0,0.80136,0.77108,0.80328,0.61096,0.71337,0.67968,0.66951,0.2181,0.92571,1.16893,0.9292,1.02716,0,0.0003962,0.0003962,0.0003962
83,7715.18,0.77415,1.34606,0.65147,1.02701,0,0.83137,0.73261,0.80101,0.605,0.7102,0.65943,0.65198,0.21168,0.94062,1.18325,0.93682,1.02466,0,0.0003764,0.0003764,0.0003764
84,7907.55,0.7807,1.35961,0.65257,1.02646,0,0.81075,0.77108,0.81365,0.62517,0.71407,0.68273,0.66143,0.22077,0.91356,1.16571,0.91212,1.01199,0,0.0003566,0.0003566,0.0003566
85,8099.4,0.77255,1.35738,0.64235,1.02147,0,0.80788,0.79375,0.80767,0.61086,0.69862,0.6889,0.65386,0.22106,0.91175,1.15478,0.9118,1.00355,0,0.0003368,0.0003368,0.0003368
86,8291.12,0.76739,1.36686,0.62645,1.02273,0,0.80162,0.77897,0.80139,0.60877,0.68668,0.68273,0.64322,0.22108,0.92339,1.17562,0.92105,1.01998,0,0.000317,0.000317,0.000317
87,8483.35,0.76551,1.34848,0.62951,1.02197,0,0.85914,0.73483,0.80715,0.61763,0.69226,0.66667,0.63738,0.22142,0.91472,1.16953,0.91947,1.01046,0,0.0002972,0.0002972,0.0002972
88,8676.55,0.76896,1.34953,0.64514,1.01946,0,0.83351,0.73896,0.80001,0.61625,0.72892,0.63454,0.63611,0.21745,0.92681,1.16547,0.92961,1.02978,0,0.0002774,0.0002774,0.0002774
89,8867.94,0.76277,1.35687,0.62945,1.02329,0,0.83198,0.77558,0.81307,0.61749,0.76423,0.69076,0.67662,0.22093,0.916,1.16405,0.89977,1.01295,0,0.0002576,0.0002576,0.0002576
90,9059.92,0.76187,1.34757,0.63237,1.02343,0,0.83521,0.75502,0.81215,0.61852,0.73562,0.65928,0.65753,0.22228,0.91151,1.1738,0.89117,1.01606,0,0.0002378,0.0002378,0.0002378
91,9249.22,0.67533,0.9936,0.63639,1.06673,0,0.83979,0.75904,0.79734,0.61896,0.75188,0.65717,0.65506,0.21876,0.91162,1.18574,0.91045,1.01638,0,0.000218,0.000218,0.000218
92,9436.83,0.6496,0.98758,0.61602,1.05484,0,0.85197,0.751,0.80371,0.62327,0.77292,0.67068,0.65732,0.22191,0.87483,1.1874,0.88981,0.9895,0,0.0001982,0.0001982,0.0001982
93,9624.44,0.65291,0.99184,0.60428,1.05973,0,0.83759,0.74699,0.81091,0.62412,0.76115,0.61847,0.62453,0.21229,0.88956,1.18328,0.89144,1.00713,0,0.0001784,0.0001784,0.0001784
94,9811.62,0.64949,0.98309,0.59625,1.05215,0,0.83851,0.76707,0.80704,0.61344,0.72027,0.66667,0.64419,0.21614,0.90852,1.19465,0.89997,1.00979,0,0.0001586,0.0001586,0.0001586
95,9998.75,0.62766,0.97834,0.58122,1.04794,0,0.80538,0.78313,0.7946,0.61,0.76113,0.65262,0.64038,0.21454,0.91596,1.18812,0.90331,1.02418,0,0.0001388,0.0001388,0.0001388
96,10186.3,0.62425,0.98119,0.57033,1.03333,0,0.86082,0.74519,0.80281,0.60939,0.77544,0.64257,0.64142,0.2155,0.904,1.18278,0.87246,1.03282,0,0.000119,0.000119,0.000119
97,10372.9,0.62856,0.97493,0.57305,1.04942,0,0.853,0.74699,0.79762,0.60713,0.74527,0.65863,0.63032,0.21167,0.90039,1.18894,0.88032,1.01927,0,9.92e-05,9.92e-05,9.92e-05
98,10559.8,0.62708,0.98358,0.56988,1.04341,0,0.85627,0.73494,0.79825,0.61355,0.77942,0.65863,0.65472,0.21341,0.89679,1.18197,0.87613,1.01016,0,7.94e-05,7.94e-05,7.94e-05
99,10746.6,0.62306,0.97908,0.56813,1.03635,0,0.85919,0.73515,0.80389,0.61695,0.7772,0.64659,0.63795,0.21374,0.89441,1.18173,0.85412,1.00583,0,5.96e-05,5.96e-05,5.96e-05
100,10934.4,0.60861,0.96738,0.55596,1.0349,0,0.87937,0.7319,0.80632,0.61826,0.78881,0.66003,0.64913,0.21604,0.8966,1.1911,0.86139,1.00357,0,3.98e-05,3.98e-05,3.98e-05
